signatures (1 letter),length,counts,,
,0,6536764,6536764,0.60933679
.,1,15989,3880569,0.361734561
C,1,3338877,254395,0.02371391
L,1,478832,52676,0.004910293
T,1,44863,1922,0.000179163
t,1,2008,1344,0.000125283
..,2,5,10727670,
.c,2,687,,
.l,2,194,,
C.,2,440,,
Cc,2,194824,,
Cl,2,26373,,
Ct,2,138,,
L.,2,73,,
Lc,2,24009,,
Ll,2,4371,,
Lt,2,29,,
T.,2,7,,
Tc,2,3149,,
Tl,2,85,,
Tt,2,8,,
tc,2,2,,
tl,2,1,,
.c.,3,3,,
.cC,3,126,,
.cL,3,8,,
.lC,3,6,,
.tC,3,2,,
C..,3,1,,
C.C,3,75,,
C.L,3,5,,
C.T,3,1,,
Cc.,3,166,,
CcC,3,41077,,
CcL,3,2182,,
CcT,3,54,,
Cct,3,3,,
Cl.,3,16,,
ClC,3,3280,,
ClL,3,69,,
ClT,3,7,,
Clt,3,1,,
CtC,3,635,,
CtL,3,9,,
CtT,3,3,,
L.C,3,6,,
L.L,3,2,,
Lc.,3,2,,
LcC,3,1888,,
LcL,3,963,,
LcT,3,5,,
LlC,3,573,,
LlL,3,48,,
LlT,3,1,,
LtC,3,10,,
LtL,3,4,,
LtT,3,2,,
T.L,3,2,,
Tc.,3,1,,
TcC,3,1163,,
TcL,3,254,,
TcT,3,1,,
TlC,3,11,,
TlL,3,3,,
TtC,3,4,,
TtL,3,1,,
tcC,3,3,,
.cCc,4,3,,
.cLc,4,1,,
C.C.,4,1,,
C.Cc,4,5,,
Cc..,4,2,,
Cc.c,4,8,,
CcC.,4,261,,
CcCc,4,1232,,
CcCl,4,24,,
CcL.,4,3,,
CcLc,4,20,,
CcTc,4,3,,
Cl.c,4,2,,
ClC.,4,24,,
ClCc,4,113,,
ClCl,4,7,,
ClL.,4,1,,
ClLl,4,2,,
ClLt,4,1,,
CtCc,4,1,,
CtCl,4,1,,
LcC.,4,9,,
LcCc,4,48,,
LcCl,4,2,,
LcL.,4,22,,
LcLc,4,108,,
LlCc,4,4,,
LlCl,4,1,,
LlLl,4,5,,
TcCc,4,6,,
TcCl,4,1,,
TtCc,4,1,,
.cC.C,5,2,,
.cCcC,5,1,,
C.CcC,5,2,,
Cc..C,5,1,,
Cc.cC,5,3,,
CcC..,5,9,,
CcC.C,5,103,,
CcC.L,5,10,,
CcC.T,5,1,,
CcCc.,5,58,,
CcCcC,5,806,,
CcCcL,5,36,,
CcCcT,5,1,,
CcCl.,5,1,,
CcClC,5,4,,
CcCt.,5,1,,
CcCtC,5,1,,
CcL.C,5,1,,
CcLcC,5,4,,
CcT.C,5,1,,
CcTcC,5,2,,
CcTcL,5,2,,
ClC.C,5,3,,
ClCc.,5,1,,
ClCcC,5,6,,
ClCcL,5,2,,
ClCcT,5,1,,
ClCl.,5,1,,
ClClC,5,5,,
ClLl.,5,1,,
ClLlL,5,5,,
ClLlT,5,1,,
LcC..,5,2,,
LcC.C,5,30,,
LcC.L,5,3,,
LcCc.,5,8,,
LcCcC,5,199,,
LcCcL,5,8,,
LcLcC,5,1,,
LcLcL,5,1,,
LcLlC,5,1,,
LlCcC,5,1,,
LlClC,5,1,,
LlClL,5,1,,
LlL.L,5,2,,
LlLlC,5,2,,
LlLlL,5,4,,
TcCc.,5,1,,
TcCcC,5,3,,
